timestamp,segment_id,segment_name,distance_meters,duration_seconds,duration_traffic_seconds,speed_kmh,congested,origin_lat,origin_lon,destination_lat,destination_lon
2025-10-13T11:25:09.203470,segment_001,Nguyen Hue Street,710,102,177,14.44,1,10.78963,106.684085,10.796933,106.68492
2025-10-13T11:25:09.203470,segment_002,Le Loi Boulevard,540,64,115,16.84,0,10.773485,106.686694,10.776279,106.69198
2025-10-13T11:25:09.203470,segment_003,Vo Van Tan Street,910,117,176,18.56,1,10.785029,106.704779,10.794926,106.712131
2025-10-13T11:25:09.203470,segment_004,Dien Bien Phu Street,1620,166,254,22.93,1,10.782874,106.689921,10.789371,106.694989
2025-10-13T11:25:09.203470,segment_005,Cach Mang Thang Tam,1520,171,304,17.99,0,10.774954,106.693718,10.784108,106.698471
2025-10-13T11:25:09.203470,segment_006,Tran Hung Dao Street,1030,97,169,21.84,0,10.780296,106.701776,10.78926,106.711665
2025-10-13T11:25:09.203470,segment_007,Nguyen Thi Minh Khai,1600,160,248,23.2,1,10.778946,106.704085,10.783841,106.705664
2025-10-13T11:25:09.203470,segment_008,Pasteur Street,720,117,174,14.83,0,10.776221,106.683436,10.78163,106.692607
2025-10-13T11:25:09.203470,segment_009,Hai Ba Trung Street,840,91,165,18.27,0,10.780568,106.709023,10.783511,106.712712
2025-10-13T11:25:09.203470,segment_010,Pham Ngu Lao Street,2660,239,356,26.89,0,10.772738,106.695248,10.782248,106.701357
2025-10-13T11:30:09.203470,segment_001,Nguyen Hue Street,710,102,183,13.94,0,10.787429,106.687673,10.789466,106.691916
2025-10-13T11:30:09.203470,segment_002,Le Loi Boulevard,540,64,95,20.26,0,10.789886,106.700612,10.790687,106.704503
2025-10-13T11:30:09.203470,segment_003,Vo Van Tan Street,910,117,202,16.2,0,10.772038,106.699411,10.779603,106.706931
2025-10-13T11:30:09.203470,segment_004,Dien Bien Phu Street,1620,166,245,23.79,0,10.770994,106.702723,10.777993,106.709458
2025-10-13T11:30:09.203470,segment_005,Cach Mang Thang Tam,1520,171,247,22.13,0,10.781447,106.688246,10.790521,106.689863
2025-10-13T11:30:09.203470,segment_006,Tran Hung Dao Street,1030,97,163,22.7,0,10.775765,106.69169,10.782692,106.699811
2025-10-13T11:30:09.203470,segment_007,Nguyen Thi Minh Khai,1600,160,241,23.87,0,10.788003,106.703858,10.794059,106.710521
2025-10-13T11:30:09.203470,segment_008,Pasteur Street,720,117,188,13.73,0,10.784421,106.703012,10.786967,106.708153
2025-10-13T11:30:09.203470,segment_009,Hai Ba Trung Street,840,91,153,19.67,1,10.782078,106.684339,10.788515,106.691954
2025-10-13T11:30:09.203470,segment_010,Pham Ngu Lao Street,2660,239,349,27.39,0,10.772172,106.694366,10.781388,106.701877
2025-10-13T11:35:09.203470,segment_001,Nguyen Hue Street,710,102,153,16.69,0,10.770887,106.690453,10.773773,106.691299
2025-10-13T11:35:09.203470,segment_002,Le Loi Boulevard,540,64,112,17.34,0,10.781985,106.684052,10.789758,106.69068
2025-10-13T11:35:09.203470,segment_003,Vo Van Tan Street,910,117,167,19.54,0,10.773949,106.687619,10.779973,106.693863
2025-10-13T11:35:09.203470,segment_004,Dien Bien Phu Street,1620,166,287,20.3,1,10.781618,106.68572,10.782273,106.694144
2025-10-13T11:35:09.203470,segment_005,Cach Mang Thang Tam,1520,171,268,20.4,0,10.789366,106.70499,10.794413,106.705108
2025-10-13T11:35:09.203470,segment_006,Tran Hung Dao Street,1030,97,144,25.62,0,10.776243,106.70112,10.776643,106.707165
2025-10-13T11:35:09.203470,segment_007,Nguyen Thi Minh Khai,1600,160,284,20.25,0,10.787863,106.698881,10.791545,106.703487
2025-10-13T11:35:09.203470,segment_008,Pasteur Street,720,117,212,12.21,1,10.785108,106.68337,10.789974,106.686748
2025-10-13T11:35:09.203470,segment_009,Hai Ba Trung Street,840,91,142,21.22,0,10.779916,106.69985,10.785743,106.700012
2025-10-13T11:35:09.203470,segment_010,Pham Ngu Lao Street,2660,239,382,25.03,0,10.785978,106.694982,10.792508,106.695213
2025-10-13T11:40:09.203470,segment_001,Nguyen Hue Street,710,102,159,16.07,1,10.78147,106.695813,10.783368,106.700605
2025-10-13T11:40:09.203470,segment_002,Le Loi Boulevard,540,64,106,18.25,0,10.776446,106.702674,10.785933,106.704642
2025-10-13T11:40:09.203470,segment_003,Vo Van Tan Street,910,117,174,18.79,0,10.78617,106.693408,10.790542,106.699024
2025-10-13T11:40:09.203470,segment_004,Dien Bien Phu Street,1620,166,248,23.5,0,10.778543,106.683504,10.779163,106.684435
2025-10-13T11:40:09.203470,segment_005,Cach Mang Thang Tam,1520,171,302,18.11,0,10.787247,106.686895,10.793871,106.696453
2025-10-13T11:40:09.203470,segment_006,Tran Hung Dao Street,1030,97,138,26.85,1,10.773031,106.698266,10.778771,106.700331
2025-10-13T11:40:09.203470,segment_007,Nguyen Thi Minh Khai,1600,160,266,21.63,0,10.788654,106.70347,10.792541,106.70519
2025-10-13T11:40:09.203470,segment_008,Pasteur Street,720,117,202,12.82,1,10.781229,106.688325,10.790803,106.695174
2025-10-13T11:40:09.203470,segment_009,Hai Ba Trung Street,840,91,139,21.72,0,10.777825,106.70479,10.779361,106.711565
2025-10-13T11:40:09.203470,segment_010,Pham Ngu Lao Street,2660,239,355,26.96,0,10.775862,106.692341,10.778278,106.693648
2025-10-13T11:45:09.203470,segment_001,Nguyen Hue Street,710,102,160,15.88,1,10.775087,106.685058,10.783777,106.688189
2025-10-13T11:45:09.203470,segment_002,Le Loi Boulevard,540,64,116,16.68,0,10.775262,106.688177,10.776325,106.695664
2025-10-13T11:45:09.203470,segment_003,Vo Van Tan Street,910,117,166,19.71,0,10.777851,106.697541,10.787848,106.701008
2025-10-13T11:45:09.203470,segment_004,Dien Bien Phu Street,1620,166,248,23.47,0,10.776261,106.683566,10.784258,106.690283
2025-10-13T11:45:09.203470,segment_005,Cach Mang Thang Tam,1520,171,243,22.45,1,10.773994,106.70468,10.77894,106.711444
2025-10-13T11:45:09.203470,segment_006,Tran Hung Dao Street,1030,97,166,22.29,1,10.771329,106.695397,10.776586,106.701641
2025-10-13T11:45:09.203470,segment_007,Nguyen Thi Minh Khai,1600,160,262,21.91,1,10.777762,106.689199,10.785669,106.691783
2025-10-13T11:45:09.203470,segment_008,Pasteur Street,720,117,170,15.18,0,10.789941,106.695842,10.791783,106.702736
2025-10-13T11:45:09.203470,segment_009,Hai Ba Trung Street,840,91,161,18.7,1,10.782218,106.703437,10.78839,106.712517
2025-10-13T11:45:09.203470,segment_010,Pham Ngu Lao Street,2660,239,404,23.65,0,10.788403,106.690542,10.795826,106.692672
2025-10-13T11:50:09.203470,segment_001,Nguyen Hue Street,710,102,155,16.4,0,10.775253,106.68888,10.77751,106.696175
2025-10-13T11:50:09.203470,segment_002,Le Loi Boulevard,540,64,105,18.47,1,10.775192,106.703781,10.780944,106.712349
2025-10-13T11:50:09.203470,segment_003,Vo Van Tan Street,910,117,184,17.72,1,10.781917,106.70796,10.784729,106.708881
2025-10-13T11:50:09.203470,segment_004,Dien Bien Phu Street,1620,166,257,22.69,0,10.779992,106.705068,10.786736,106.712302
2025-10-13T11:50:09.203470,segment_005,Cach Mang Thang Tam,1520,171,267,20.42,0,10.787501,106.702563,10.790542,106.705307
2025-10-13T11:50:09.203470,segment_006,Tran Hung Dao Street,1030,97,154,23.96,0,10.774705,106.696825,10.777112,106.700204
2025-10-13T11:50:09.203470,segment_007,Nguyen Thi Minh Khai,1600,160,233,24.67,0,10.785253,106.690657,10.787535,106.69606
2025-10-13T11:50:09.203470,segment_008,Pasteur Street,720,117,177,14.57,0,10.789178,106.699081,10.792078,106.707506
2025-10-13T11:50:09.203470,segment_009,Hai Ba Trung Street,840,91,129,23.43,0,10.7844,106.68031,10.788607,106.681223
2025-10-13T11:50:09.203470,segment_010,Pham Ngu Lao Street,2660,239,398,24.02,0,10.782977,106.692834,10.785403,106.69697
2025-10-13T11:55:09.203470,segment_001,Nguyen Hue Street,710,102,163,15.62,0,10.787757,106.700684,10.797321,106.709981
2025-10-13T11:55:09.203470,segment_002,Le Loi Boulevard,540,64,114,16.95,0,10.780182,106.701714,10.784656,106.70831
2025-10-13T11:55:09.203470,segment_003,Vo Van Tan Street,910,117,174,18.79,1,10.778154,106.686905,10.786252,106.695896
2025-10-13T11:55:09.203470,segment_004,Dien Bien Phu Street,1620,166,275,21.2,0,10.783638,106.703473,10.790054,106.704409
2025-10-13T11:55:09.203470,segment_005,Cach Mang Thang Tam,1520,171,242,22.61,0,10.788402,106.705737,10.789878,106.70883
2025-10-13T11:55:09.203470,segment_006,Tran Hung Dao Street,1030,97,144,25.69,0,10.77444,106.682951,10.778283,106.689433
2025-10-13T11:55:09.203470,segment_007,Nguyen Thi Minh Khai,1600,160,289,19.9,0,10.788997,106.706099,10.796949,106.70925
2025-10-13T11:55:09.203470,segment_008,Pasteur Street,720,117,203,12.72,1,10.779517,106.699329,10.783661,106.700531
2025-10-13T11:55:09.203470,segment_009,Hai Ba Trung Street,840,91,130,23.26,1,10.776388,106.686932,10.780366,106.692391
2025-10-13T11:55:09.203470,segment_010,Pham Ngu Lao Street,2660,239,425,22.51,1,10.782444,106.683272,10.785819,106.693125
